Date,Spend,Revenue,Impressions,Clicks,Link_Clicks,Landing_Page_Views,Add_to_Cart,Initiate_Checkout,Purchases,Reach,ROAS,CPM,CPC,CTR,CVR
2025-09-15,136.21,0.0,8086,18,0,0,0,0,0,7402,0.0,16.85,7.57,0.22,0.0
2025-09-16,364.51,0.0,24341,28,0,0,0,0,0,18583,0.0,14.98,13.02,0.12,0.0
2025-10-17,664.24,0.0,4805,282,320,143,8,3,0,4029,0.0,138.24,2.36,5.87,0.0
2025-10-18,3816.23,1078.2,14270,221,204,114,15,9,2,12694,0.28,267.43,17.27,1.55,0.98
2025-10-19,5635.91,1797.0,20540,450,418,253,43,14,3,17070,0.32,274.39,12.52,2.19,0.72
2025-10-20,5737.0,1198.0,11265,448,469,295,54,31,2,9052,0.21,509.28,12.81,3.98,0.43
2025-10-21,4221.57,2396.0,10320,185,156,113,13,7,2,9442,0.57,409.07,22.82,1.79,1.28
2025-10-22,15338.439999999999,12218.5,48809,770,665,461,71,38,19,44493,0.8,314.25,19.92,1.58,2.86
2025-10-23,45378.54,30680.899999999998,129659,2082,1670,1235,158,86,57,102555,0.68,349.98,21.8,1.61,3.41
2025-10-24,31515.21,43963.700000000004,165590,2234,1737,1277,182,125,78,133450,1.39,190.32,14.11,1.35,4.49
2025-10-25,36056.06,55781.4,339669,3818,2925,2200,262,185,98,287255,1.55,106.15,9.44,1.12,3.35
2025-10-26,52511.24,60370.8,465452,5883,4685,3573,418,261,107,381113,1.15,112.82,8.93,1.26,2.28
2025-10-27,37189.78,50621.3,270074,4130,3211,2548,326,214,95,227678,1.36,137.7,9.0,1.53,2.96
2025-10-28,42471.3,62706.7,384893,5670,4688,3946,430,255,120,329692,1.48,110.35,7.49,1.47,2.56
2025-10-29,59568.58,85512.2,442305,7319,6168,5165,576,347,157,373293,1.44,134.68,8.14,1.65,2.55
2025-10-30,82032.70999999999,119916.6,608552,9635,8001,6617,765,451,229,502018,1.46,134.8,8.51,1.58,2.86
2025-10-31,107561.31,160149.19999999998,823708,13351,10985,9159,1083,645,300,693239,1.49,130.58,8.06,1.62,2.73
2025-11-01,74788.82,130627.3,634536,10142,8492,7154,815,489,250,545199,1.75,117.86,7.37,1.6,2.94
2025-11-02,96246.93,176489.7,978075,12930,10767,8786,1101,688,336,850431,1.83,98.4,7.44,1.32,3.12
2025-11-03,94240.43,155576.68,1112289,12657,10496,8530,1028,618,296,995779,1.65,84.73,7.45,1.14,2.82
2025-11-04,115569.32,169803.30000000002,1215240,15285,12700,10469,1211,731,318,1068993,1.47,95.1,7.56,1.26,2.5
2025-11-05,104744.23999999999,169930.8,1134868,14048,11867,10006,1025,633,321,1025226,1.62,92.3,7.46,1.24,2.7
2025-11-06,128377.8,213797.73,1262439,16912,13921,11684,1436,843,410,1110115,1.67,101.69,7.59,1.34,2.95
2025-11-07,109218.17,179129.1,1179569,14833,11985,10204,1255,741,343,1035155,1.64,92.59,7.36,1.26,2.86
2025-11-08,81519.38,131329.9,808704,10340,8328,7218,877,524,247,728960,1.61,100.8,7.88,1.28,2.97
2025-11-09,121170.86,170266.22000000003,1111603,14017,11264,9827,1168,703,331,941366,1.41,109.01,8.64,1.26,2.94
2025-11-10,99354.94,130794.2,881549,12121,9929,8506,981,553,254,775168,1.32,112.7,8.2,1.37,2.56
2025-11-11,85945.51999999999,129244.70000000001,767896,10770,8623,7273,813,497,248,686216,1.5,111.92,7.98,1.4,2.88
2025-11-12,90173.36,112001.73,639347,9181,7478,6363,734,438,204,557144,1.24,141.04,9.82,1.44,2.73
2025-11-13,96066.74,142848.9,734898,10198,8311,7114,907,565,267,636180,1.49,130.72,9.42,1.39,3.21
2025-11-14,77322.9,103773.6,632174,9596,7976,7171,830,471,198,542866,1.34,122.31,8.06,1.52,2.48
2025-11-15,72386.98,98323.90000000001,659305,9628,7452,6762,731,434,189,577102,1.36,109.79,7.52,1.46,2.54
2025-11-16,97639.07,159253.87999999998,906327,12908,10437,9732,1092,635,305,761850,1.63,107.73,7.56,1.42,2.92
2025-11-17,99142.5,162516.19999999998,1065578,13090,10307,9125,1013,583,311,916386,1.64,93.04,7.57,1.23,3.02
2025-11-18,91672.56,114812.59999999999,925905,12780,10648,9117,978,518,227,829954,1.25,99.01,7.17,1.38,2.13
2025-11-19,60106.5,89721.0,665046,8652,6830,5904,705,393,174,600986,1.49,90.38,6.95,1.3,2.55
2025-11-20,78201.48,125540.7,858063,10858,8758,7621,928,520,237,761010,1.61,91.14,7.2,1.27,2.71
2025-11-21,84233.16,131457.25,969398,11911,9472,8168,948,555,252,883932,1.56,86.89,7.07,1.23,2.66
2025-11-22,105456.69,161023.76,946148,13650,10872,9279,1112,632,313,820060,1.53,111.46,7.73,1.44,2.88
2025-11-23,142579.03,211135.52000000002,1241420,17572,13804,11905,1430,799,409,1055233,1.48,114.85,8.11,1.42,2.96
2025-11-24,103460.77,140491.1,914315,13551,10570,9145,1049,549,269,823285,1.36,113.16,7.63,1.48,2.54
2025-11-25,89517.35,135010.31,821719,11984,9488,8164,962,530,246,747029,1.51,108.94,7.47,1.46,2.59
2025-11-26,89494.21,125600.40000000001,764626,10985,8800,7607,929,523,239,682785,1.4,117.04,8.15,1.44,2.72
2025-11-27,97902.04000000001,161368.77,863029,12008,9543,8153,992,683,312,778978,1.65,113.44,8.15,1.39,3.27
2025-11-28,103072.83,171091.4,871208,12938,10297,8964,1282,826,324,788939,1.66,118.31,7.97,1.49,3.15
2025-11-29,89513.52,123794.22,742547,10804,8420,7276,926,651,240,663127,1.38,120.55,8.29,1.45,2.85
2025-11-30,90443.79000000001,159000.32,721320,10550,8377,7265,1088,750,304,651244,1.76,125.39,8.57,1.46,3.63
2025-12-01,83842.26,138603.8,822672,10429,8218,6987,978,709,276,739029,1.65,101.91,8.04,1.27,3.36
2025-12-02,89445.04,169364.36,997338,11748,9181,7579,1071,797,334,915758,1.89,89.68,7.61,1.18,3.64
2025-12-03,97237.06,150166.4,1251401,13388,10363,8332,1166,862,287,1161250,1.54,77.7,7.26,1.07,2.77
2025-12-04,99578.13,140598.91,1199678,14308,10822,8637,1094,806,261,1112514,1.41,83.0,6.96,1.19,2.41
2025-12-05,90658.85,135616.56,1000862,13163,10007,7979,1086,775,239,902490,1.5,90.58,6.89,1.32,2.39
2025-12-06,75602.61,126971.76000000001,794363,9691,7416,6211,957,676,210,726641,1.68,95.17,7.8,1.22,2.83
2025-12-07,103092.37,160818.52,1086315,13330,9961,8341,1303,948,271,980470,1.56,94.9,7.73,1.23,2.72
2025-12-08,84570.24,133496.51,884308,10790,7772,6273,965,742,240,800610,1.58,95.63,7.84,1.22,3.09
2025-12-09,95435.14,154850.30000000002,945509,11328,8111,6445,1036,786,277,847759,1.62,100.94,8.42,1.2,3.42
2025-12-10,100953.88,153261.9,938440,11062,8132,6577,1027,783,270,834999,1.52,107.58,9.13,1.18,3.32
2025-12-11,83881.29000000001,100832.8,746293,8505,6417,5103,714,540,177,653098,1.2,112.4,9.86,1.14,2.76
2025-12-12,75356.20999999999,100121.66,543681,7251,5524,4455,665,537,186,479943,1.33,138.6,10.39,1.33,3.37
2025-12-13,52931.96,74221.1,433201,5153,3982,3390,523,394,138,397738,1.4,122.19,10.27,1.19,3.47
2025-12-14,88872.58,192996.89,763548,9700,7677,6599,1178,929,352,660889,2.17,116.39,9.16,1.27,4.59
2025-12-15,82211.92,145471.4,930439,10426,8054,6459,995,785,269,837254,1.77,88.36,7.89,1.12,3.34
2025-12-16,66654.48,115716.0,680612,8113,5787,4763,830,677,211,611601,1.74,97.93,8.22,1.19,3.65
2025-12-17,66547.92,103638.8,659201,9010,6507,4889,720,588,183,580664,1.56,100.95,7.39,1.37,2.81
2025-12-18,63516.86,112240.84,775811,8599,6027,4699,825,708,200,696466,1.77,81.87,7.39,1.11,3.32
