Date,Timestamp,Campaign_ID,Campaign_Name,Spend,Revenue,Impressions,Clicks,Link_Clicks,Landing_Page_Views,Add_to_Cart,Initiate_Checkout,Purchases,ROAS,CPM,CPC,CTR,CVR,Cost_Per_Purchase,Frequency,Reach
2026-01-18,2026-01-18 00:24:29,120235288174440484,KZ Acc 1 | Sale | TOF- All Perfumes |  |  |  | Reel |  |  |  |  |  |  | (22 Oct 2025),579.22,0.0,4598,69,25,9,0,0,0,0.0,125.97,8.39,1.5,0.0,0,4.72,974
2026-01-18,2026-01-18 00:24:29,120235417068090484,KZ Acc 1 | Sale | TOF- Advantage+ shopping campaign Voxpop Videos   |  |  |  |  |  |  |  |  |  |  | (24 Oct 2025),130.78,0.0,835,24,6,1,0,0,0,0.0,156.62,5.45,2.87,0.0,0,2.74,305
2026-01-18,2026-01-18 00:24:29,120235420918940484,KZ Acc 1 | Sale | TOF- Advantage+ shopping campaign Statics   |  |  |  |  |  |  |  |  |  |  | (24 Oct 2025),197.76,0.0,1228,24,6,0,0,0,0,0.0,161.04,8.24,1.95,0.0,0,2.27,542
2026-01-18,2026-01-18 00:24:29,120236441732450484,KZ Acc 1 | Sale | TOF- Advantage+ shopping campaign DPA  |  |  |  |  |  |  |  |  |  |  | (13 Nov 2025),108.39,0.0,789,7,6,1,0,0,0,0.0,137.38,15.48,0.89,0.0,0,1.54,511
2026-01-18,2026-01-18 00:24:29,120238138561470484,KZ Acc 1 | Sale | TOF- Advantage+ shopping campaign Twilight Unisex  Perfume Video  |  |  |  |  |  |  |  |  |  |  | (12 Dec 2025),340.36,0.0,3030,34,4,2,0,0,0,0.0,112.33,10.01,1.12,0.0,0,2.85,1064
2026-01-18,2026-01-18 00:24:29,120239170179650484,KZ Acc 1 | Sale | TOF- Advantage+ shopping campaign La Beaute Women Perfume Video Set 3 |  |  |  |  |  |  |  |  |  |  | (08 Jan 2026),161.43,0.0,788,17,4,2,1,1,0,0.0,204.86,9.5,2.16,0.0,0,1.79,439
2026-01-18,2026-01-18 00:24:29,120239322060650484,KZ Acc 1 | Sale | TOF- Advantage+ shopping campaign Oud Ameer Unisex Perfume Video  |  |  |  |  |  |  |  |  |  |  | (12 Jan 2026),198.96,0.0,2292,31,10,6,0,0,0,0.0,86.81,6.42,1.35,0.0,0,2.14,1073
2026-01-18,2026-01-18 00:24:29,120239322346940484,KZ Acc 1 | Sale | TOF- Advantage+ shopping campaign La Beaute Women Perfume Video Set 4 |  |  |  |  |  |  |  |  |  |  | (12 Jan 2026),398.34,0.0,1648,30,18,5,0,0,0,0.0,241.71,13.28,1.82,0.0,0,1.02,1612
2026-01-18,2026-01-18 00:24:29,120239341955570484,KZ Acc 1 | Sale | TOF- Advantage+ shopping campaign Bahiyaa Bayda Women Perfume English |  |  |  |  |  |  |  |  |  |  | (12 Jan 2026),105.23,0.0,69,2,1,0,0,0,0,0.0,1525.07,52.62,2.9,0.0,0,1.53,45
2026-01-18,2026-01-18 00:24:29,120239362881710484,KZ Acc 1 | Sale | TOF- Advantage+ shopping campaign Untamed Men Perfume Value Rule |  |  |  |  |  |  |  |  |  |  | (13 Jan 2026),98.11,0.0,526,12,0,0,0,0,0,0.0,186.52,8.18,2.28,0.0,0,3.25,162
2026-01-18,2026-01-18 00:24:29,120239480699490484,KZ Acc 1 | Sale | TOF- Advantage+ shopping campaign Gentleman Men Perfume Value Rule |  |  |  |  |  |  |  |  |  |  | (16 Jan 2026),7.51,0.0,86,0,0,0,0,0,0,0.0,87.33,0.0,0.0,0.0,0,1.87,46
2026-01-18,2026-01-18 00:24:29,120237386326260228,KZ Acc 2 | Sale | TOF- Memes Reel |  |  |  |  |  |  |  |  |  |  | (28 Oct 2025),177.44,0.0,1141,19,9,4,0,0,0,0.0,155.51,9.34,1.67,0.0,0,1.77,646
2026-01-18,2026-01-18 00:24:29,120240460656490228,KZ Acc 2 |  | TOF - Advantage+ shopping campaign Perfume Video Value Rule |  |  |  |  |  |  |  |  |  |  | (26 Dec 2025),147.97,0.0,1077,22,10,1,0,0,0,0.0,137.39,6.73,2.04,0.0,0,1.8,599
